༳	-1/2
٠	0
۰	0
߀	0
०	0
০	0
੦	0
૦	0
୦	0
௦	0
౦	0
౸	0
೦	0
൦	0
෦	0
๐	0
໐	0
༠	0
၀	0
႐	0
០	0
៰	0
᠐	0
᥆	0
᧐	0
᪀	0
᪐	0
᭐	0
᮰	0
᱀	0
᱐	0
⁰	0
₀	0
↉	0
⓪	0
⓿	0
〇	0
洞	0
零	0
꘠	0
ꛯ	0
꣐	0
꤀	0
꧐	0
꧰	0
꩐	0
꯰	0
零	0
０	0
𐆊	0
𐒠	0
𐴰	0
𑁦	0
𑃰	0
𑄶	0
𑇐	0
𑋰	0
𑑐	0
𑓐	0
𑙐	0
𑛀	0
𑜰	0
𑣠	0
𑥐	0
𑱐	0
𑵐	0
𑶠	0
𑽐	0
𖩠	0
𖫀	0
𖭐	0
𖺀	0
𝋀	0
𝋠	0
𝟎	0
𝟘	0
𝟢	0
𝟬	0
𝟶	0
𞅀	0
𞋰	0
𞓰	0
𞥐	0
🄀	0
🄁	0
🄋	0
🄌	0
🯰	0
𑿀	1/320
𑿔	1/320
൘	1/160
𑿁	1/160
𑿂	1/80
𑿃	1/64
൙	1/40
𑿄	1/40
𑿅	1/32
൚	3/80
𑿆	3/80
𑿇	3/64
൛	1/20
𑿈	1/20
৴	1/16
୵	1/16
൶	1/16
꠳	1/16
𑿉	1/16
𑿊	1/16
𐧶	1/12
൜	1/10
⅒	1/10
𑿋	1/10
⅑	1/9
৵	1/8
୶	1/8
൷	1/8
⅛	1/8
꠴	1/8
𑿌	1/8
𒑟	1/8
⅐	1/7
൝	3/20
𑿍	3/20
⅙	1/6
𐧷	1/6
𒑡	1/6
𞴽	1/6
৶	3/16
୷	3/16
൸	3/16
꠵	3/16
𑿎	3/16
൞	1/5
⅕	1/5
𑿏	1/5
¼	1/4
৷	1/4
୲	1/4
൳	1/4
꠰	1/4
𐅀	1/4
𐆋	1/4
𐧸	1/4
𐹼	1/4
𑿐	1/4
𒑠	1/4
𒑢	1/4
𒑣	1/4
𞲭	1/4
⅓	1/3
𐧹	1/3
𐹽	1/3
𒑚	1/3
𒑝	1/3
𒑥	1/3
⅜	3/8
⅖	2/5
𐧺	5/12
½	1/2
୳	1/2
൴	1/2
