8	ba
9	jiu
6	liu
4	si
1	yi
2	er
3	san
5	wu
7	qi
0	ling
祻	gu
詁	gu
皷	gu
皼	gu
瀔	gu
杚	gu
鶻	gu
鼔	gu
愲	gu
羖	gu
轱	gu
脵	gu
鈷	gu
軱	gu
穀	gu
鈲	gu
軲	gu
崮	gu
菰	gu
痼	gu
诂	gu
傦	gu
牯	gu
篐	gu
堌	gu
罛	gu
僱	gu
苽	gu
牿	gu
稒	gu
扢	gu
梏	gu
嘏	gu
柧	gu
逧	gu
鴣	gu
轂	gu
蛄	gu
夃	gu
泒	gu
沽	gu
孤	gu
姑	gu
蓇	gu
估	gu
箍	gu
辜	gu
菇	gu
咕	gu
古	gu
蛊	gu
棝	gu
故	gu
顾	gu
固	gu
股	gu
谷	gu
餶	gu
骨	gu
橭	gu
錮	gu
觚	gu
唃	gu
盬	gu
鲴	gu
榖	gu
唂	gu
钴	gu
崓	gu
榾	gu
淈	gu
箛	gu
罟	gu
啒	gu
笟	gu
鯝	gu
汩	gu
顧	gu
尳	gu
瞽	gu
锢	gu
雇	gu
鼓	gu
濲	gu
酤	gu
縎	gu
鹘	gu
糓	gu
馉	gu
凅	gu
鸪	gu
毂	gu
薣	gu
嫴	gu
鮕	gu
蠱	gu
臌	gu
幧	qiao
趫	qiao
髚	qiao
鞩	qiao
踍	qiao
劁	qiao
谯	qiao
韒	qiao
喬	qiao
诮	qiao
嫶	qiao
骹	qiao
鍫	qiao
鞽	qiao
跷	qiao
槗	qiao
髜	qiao
鍬	qiao
鐈	qiao
誚	qiao
郻	qiao
鄡	qiao
墽	qiao
鞒	qiao
睄	qiao
缲	qiao
勪	qiao
鄥	qiao
僺	qiao
墧	qiao
僑	qiao
硚	qiao
磽	qiao
礄	qiao
毃	qiao
陗	qiao
墝	qiao
櫵	qiao
顦	qiao
帩	qiao
竅	qiao
釥	qiao
嘺	qiao
癄	qiao
犞	qiao
橋	qiao
憔	qiao
愀	qiao
蹺	qiao
蹻	qiao
譙	qiao
頝	qiao
鐰	qiao
荞	qiao
樵	qiao
躈	qiao
撽	qiao
燆	qiao
硗	qiao
趬	qiao
峭	qiao
翹	qiao
翘	qiao
繰	qiao
撬	qiao
窍	qiao
橇	qiao
藮	qiao
菬	qiao
锹	qiao
繑	qiao
鞘	qiao
俏	qiao
瞧	qiao
悄	qiao
巧	qiao
荍	qiao
乔	qiao
桥	qiao
侨	qiao
敲	qiao
蕎	qiao
掮	qian
钤	qian
汧	qian
肷	qian
潛	qian
謙	qian
忴	qian
蕁	qian
蔳	qian
欦	qian
乹	qian
鬜	qian
黚	qian
縴	qian
缱	qian
岍	qian
鬝	qian
汘	qian
圲	qian
鈆	qian
鈐	qian
淺	qian
釺	qian
奷	qian
葥	qian
綪	qian
儙	qian
媊	qian
俔	qian
拑	qian
騝	qian
墘	qian
岒	qian
籖	qian
箝	qian
鵮	qian
仱	qian
遷	qian
騚	qian
茾	qian
刋	qian
僉	qian
膁	qian
傔	qian
拪	qian
籤	qian
鏲	qian
諐	qian
歬	qian
圱	qian
悓	qian
杄	qian
攐	qian
堑	qian
槏	qian
阡	qian
嵌	qian
蜸	qian
谴	qian
鹐	qian
牵	qian
遣	qian
浅	qian
蚈	qian
欠	qian
搴	qian
褰	qian
濳	qian
揵	qian
骞	qian
銭	qian
歉	qian
愆	qian
槧	qian
塹	qian
榩	qian
篏	qian
乾	qian
谦	qian
仟	qian
签	qian
佥	qian
黔	qian
前	qian
钳	qian
钱	qian
錢	qian
倩	qian
潜	qian
铅	qian
韆	qian
钎	qian
扦	qian
羬	qian
千	qian
棈	qian
迁	qian
篟	qian
偂	qian
簽	qian
茜	qian
鉗	qian
攑	qian
攓	qian
譴	qian
芡	qian
鉛	qian
騫	qian
慊	qian
虔	qian
繾	qian
輤	qian
扲	qian
壍	qian
灊	qian
孯	qian
臤	qian
厱	qian
櫏	qian
荨	qian
顅	qian
婜	qian
芊	qian
軡	qian
皘	qian
撁	qian
椠	qian
牽	qian
橬	qian
悭	qian
掔	qian
谸	qian
嬱	qian
檶	qian
蒨	qian
鰬	qian
亁	qian
伣	qian
慳	qian
濸	cbng
隔	ge
阁	ge
箇	ge
铬	ge
个	ge
歌	ge
各	ge
搁	ge
革	ge
謌	ge
敋	ge
笴	ge
鬲	ge
戈	ge
鸽	ge
胳	ge
疙	ge
格	ge
乬	ge
哥	ge
葛	ge
割	ge
槅	ge
蛤	ge
個	ge
櫊	ge
骼	ge
鴚	ge
搿	ge
圪	ge
鴿	ge
茖	ge
戨	ge
嗝	ge
犵	ge
戓	ge
嗰	ge
舸	ge
鉻	ge
諽	ge
鞈	ge
鮯	ge
鞷	ge
膈	ge
韐	ge
哿	ge
韚	ge
牫	ge
愅	ge
肐	ge
滆	ge
閣	ge
呄	ge
騔	ge
輵	ge
袼	ge
彁	ge
臵	ge
佮	ge
佫	ge
擱	ge
唟	ge
虼	ge
塥	ge
觡	ge
轕	ge
鎘	ge
滒	ge
匌	ge
鎶	ge
镉	ge
蛒	ge
裓	ge
挌	ge
獦	ge
巪	ge
钢	gang
摃	gang
槓	gang
岡	gang
肛	gang
刚	gang
牨	gang
缸	gang
掆	gang
棡	gang
犅	gang
纲	gang
冮	gang
釭	gang
綱	gang
堽	gang
冈	gang
岗	gang
焹	gang
罡	gang
疘	gang
戆	gang
堈	gang
剛	gang
崗	gang
矼	gang
戇	gang
焵	gang
鎠	gang
戅	gang
杠	gang
港	gang
罁	gang
鋼	gang
筻	gang
旮	ga
釓	ga
噶	ga
魀	ga
嘠	ga
嘎	ga
尬	ga
錷	ga
玍	ga
钆	ga
尜	ga
尕	ga
蓙	go
釕	liao
寥	liao
瞭	liao
燎	liao
撩	liao
屪	liao
藔	liao
膫	liao
鄝	liao
飉	liao
嘹	liao
蟟	liao
镣	liao
廖	liao
尞	liao
钌	liao
撂	liao
寮	liao
遼	liao
簝	liao
辽	liao
橑	liao
漻	liao
爎	liao
賿	liao
蹽	liao
鷯	liao
爒	liao
璙	liao
嶚	liao
嶛	liao
蹘	liao
尦	liao
炓	liao
聊	liao
髎	liao
蓼	liao
繚	liao
尥	liao
豂	liao
疗	liao
僚	liao
療	liao
膋	liao
暸	liao
獠	liao
嵺	liao
嫽	liao
敹	liao
鐐	liao
憭	liao
竂	liao
镽	liao
鹩	liao
窷	liao
憀	liao
缭	liao
料	liao
廫	liao
鞣	rou
楺	rou
粈	rou
禸	rou
輮	rou
騥	rou
腬	rou
蝚	rou
宍	rou
厹	rou
糅	rou
譳	rou
柔	rou
揉	rou
肉	rou
渘	rou
媃	rou
脜	rou
瑈	rou
