А	а
Б	б
В	в
Г	г
Д	д
Е	е
Ё	ё
Ж	ж
З	з
И	и
Й	й
К	к
Л	л
М	м
Н	н
О	о
П	п
Р	р
С	с
Т	т
У	у
Ф	ф
Х	х
Ц	ц
Ч	ч
Ш	ш
Щ	щ
Ъ	ъ
Ы	ы
Ь	ь
Э	э
Ю	ю
Я	я
ア	あ
イ	い
ウ	う
エ	え
オ	お
カ	か
キ	き
ク	く
ケ	け
コ	こ
サ	さ
シ	し
ス	す
セ	せ
ソ	そ
チ	ち
ツ	つ
テ	て
ト	と
ナ	な
ニ	に
ヌ	ぬ
ネ	ね
ノ	の
ャ	ゃ
ュ	ゅ
ョ	ょ
ァ	ぁ
ェ	ぇ
ォ	ぉ
ヒ	ひ
フ	ふ
ヘ	へ
ホ	ほ
マ	ま
ミ	み
ム	む
メ	め
モ	も
ヤ	や
ユ	ゆ
ヨ	よ
ラ	ら
リ	り
ル	る
レ	れ
ロ	ろ
ワ	わ
ヰ	ゐ
ヱ	ゑ
ヲ	を
ン	ん
ガ	が
ギ	ぎ
グ	ぐ
ゲ	げ
ゴ	ご
ザ	ざ
ジ	じ
ダ	だ
ヂ	ぢ
ズ	ず
ゼ	ぜ
ゾ	ぞ
バ	ば
ビ	び
ブ	ぶ
ベ	べ
ボ	ぼ
パ	ぱ
ピ	ぴ
プ	ぷ
ペ	ぺ
ポ	ぽ
ｱ	あ
ｲ	い
ｳ	う
ｴ	え
ｵ	お
ｶ	か
ｷ	き
ｸ	く
ｹ	け
ｺ	こ
ｻ	さ
ｼ	し
ｽ	す
ｾ	せ
ｿ	そ
ﾀ	た
ﾁ	ち
ﾂ	つ
ﾃ	て
ﾄ	と
ﾅ	な
ﾆ	に
ﾇ	ぬ
ﾈ	ね
ﾉ	の
ﾊ	は
ﾋ	ひ
ﾌ	ふ
ﾍ	へ
ﾎ	ほ
ﾏ	ま
ﾐ	み
ﾑ	む
ﾒ	め
ﾓ	も
ﾔ	や
ﾕ	よ
ﾖ	ゆ
ﾗ	ら
ﾘ	り
ﾙ	る
ﾚ	れ
ﾛ	ろ
ﾜ	わ
ｦ	を
ﾝ	ん
