gang	gan
seng	sen
zhang	zhan
sang	san
cheng	cen
neng	neng
geng	gen
chang	can
shua	sua
cha	ca
che	ce
chi	ci
chu	cu
zhao	zao
zhan	zan
zhai	zai
ning	nin
wang	wan
beng	ben
zhuang	zuan
eng	en
ping	pin
kuang	kuan
bing	bin
pang	pan
peng	pen
zhen	zen
bang	ban
weng	wen
kang	kan
keng	ken
shi	si
shun	sun
shuo	suo
shui	sui
ding	din
rang	ran
ying	yin
chan	can
shuan	suan
shuai	suai
chong	cong
dang	dan
ang	an
reng	ren
ming	min
deng	den
shou	sou
chuang	cuan
nang	nan
feng	fen
meng	men
shu	su
sha	sa
she	se
fang	fan
teng	ten
huang	huan
mang	man
ting	tin
chua	cua
chun	cun
chui	cui
zeng	zen
tang	tan
cang	can
heng	hen
zhua	zua
zhui	zui
zhuo	zuo
zhun	zun
shuang	suan
zhei	zei
shai	sai
shan	san
shao	sao
hang	han
zhuai	zuai
zhuan	zuan
guang	guan
shen	sen
shei	sei
xing	xin
sheng	sen
chuan	cuan
qing	qin
chuai	cuai
chou	cou
jing	jin
shang	san
ling	lin
zhu	zu
ceng	cen
zha	za
zhe	ze
zhi	zi
chai	cai
chao	cao
zhong	zong
zang	zan
chuo	cuo
zheng	zen
leng	len
zhou	zou
lang	lan
