醃	腌
靉	叆
鞌	鞍
垵	埯
菴	庵
闇	暗
晻	暗
翺	翱
翶	翱
㘭	坳
抝	拗
鼇	鳌
艸	艹
翺	翱
覇	霸
栢	柏
幇	帮
幚	帮
牓	榜
髈	膀
緥	褓
襃	褒
裦	褒
寳	宝
寳	宝
俻	备
桮	杯
盃	杯
揹	背
逩	奔
逬	迸
痺	痹
𡚁	弊
闢	辟
偪	逼
粃	秕
獘	毙
徧	遍
臕	膘
飇	飙
鼈	鳖
㿜	瘪
髩	鬓
賔	宾
竝	并
氷	冰
稟	禀
㆛	丙
倂	并
倂	并
缽	钵
𩓐	脖
愽	博
佈	布
倸	睬
㋔	才
寀	采
綵	彩
㊖	财
⾤	采
纔	才
㈶	财
跴	踩
採	采
埰	采
慙	惭
葠	参
蔘	参
㕘	参
蓡	参
撡	操
筞	策
挿	插
詧	察
揷	插
査	查
剷	铲
剷	铲
嚐	尝
⺁	厂
甞	尝
厰	厂
塲	场
膓	肠
撦	扯
硶	碜
趂	趁
澂	澄
乗	乘
勑	敕
勅	敕
翄	翅
彲	彨
喫	吃
喫	吃
⾍	虫
酧	酬
讐	雠
讎	仇
醻	酬
矁	瞅
処	处
耡	锄
齣	出
舩	船
剏	创
牎	窗
窻	窗
牀	床
窓	窗
牕	窗
剙	创
箠	棰
搥	捶
鎚	锤
脣	唇
旾	春
醕	醇
惷	蠢
湻	淳
辤	辞
䛐	词
怱	匆
悤	匆
樷	丛
聰	聪
蹵	蹴
觕	粗
麤	粗
簒	篡
顇	悴
脃	脆
脃	脆
邨	村
剉	锉
𤺥	瘩
㉩	大
㈹	代
蝳	玳
靆	叇
獃	呆
瑇	玳
瑇	玳
噉	啖
躭	耽
啗	啖
氹	凼
儅	当
㠀	岛
悳	德
櫈	凳
隄	堤
牴	抵
㆞	地
觝	抵
弔	吊
琱	雕
彫	雕
鵰	雕
彫	雕
㬪	叠
啑	喋
疉	叠
蜨	蝶
蜨	蝶
矴	碇
㆜	丁
椗	碇
働	动
崠	岽
兠	兜
荳	豆
鬪	斗
鬦	斗
覩	睹
匵	椟
